aircraft	aeronave
artist	artista
astronaut	astronauta
athlete	atleta,atletica,deportista
barn	granero,barn,establo,galpón
base	base,bajo,basar,campaña,rastrero,sede
baseball	béisbol
battery	batería,golpes,lesiones,pila
beach	playa,embarrancar,encallar,varar
beaver	castor
beehive	colmena,beehive
bicycle	bicicleta,bici
blue	azul,azular,celeste,deprimido,melancólico,triste,verde
bomb	bomba,bombardear,bombear
boot	bota,arrancar,cepo
bottle	botella,arrojo,embotellar,frasco,osadía
braid	trenza,trenzar
brass	latón,casquillo,cobres
brave	valiente,corajudo,valeroso
broccoli	brócoli,brécol,bróculi
broken	roto,averiado,bruja,chapurreado,cortada,cortado,derrotado,descompuesto,desconectado,descorazonado,deslavazado,destrozado,discontinua,discontinuo,disparejo,estropeado,fracturado,irregular,quebrado,seco
bubble	burbuja,burbujear,pompa
cafeteria	cafetería,cantina,casino,comedor
cake	pastel,bizcocho,cake,ponqué,pudín,queque,tarta,torta
calculator	calculadora,calculador
camera	cámara,videocámara
candy	dulce,caramelo,confite,golosina
chalk	tiza,clarión,creta,gis,pizarrín
cheek	mejilla,cacha,cachete,descoco,glúteo,nalga
chin	barbilla,mentón,pera
chocolate	chocolate,achocolatado,bombón,chocolateado
circus	circo
coach	entrenador,autocar,coche,entrenadora,entrenar,vagón
coal	carbón,brasa,hullero
coconut	coco
computer	computadora,calculador,computador,ordenador
cook	cocinar,cocer,cocerse,cocinera,cocinero
couch	sofá,sillón
cough	tos,toser
cowboy	vaquero,gaucho,huaso,llanero
crib	cuna,chuleta,fusilar,machete
dance	baile,bailar,danza,danzar
dentist	dentista,odontólogo
dictionary	diccionario
dock	muelle,acoplamiento,banquillo,dársena,descolar,desrabar,desrabotar,puerto
dollar	dólar
earthquake	terremoto,temblor
electricity	electricidad
face	cara,encarar,enfrentar,enfrentarse,faz,gesto,imagen,jeta,mirar,mueca,reputación,rostro,técnico
fang	colmillo
fast	rápido,ayunar,rápidamente
firefighter	bombero
fist	puño,apuñalar,índice
flamingo	flamenco
flashlight	linterna,foco,lámpara
flute	flauta
fog	niebla
freckle	peca
frog	rana,franchute,gabacho
funny	gracioso,chistoso,cómico,divertido,extraño,inusual,raro
fur	piel,pelaje,pelo
garbage	basura,desperdicios
garden	jardín,felpudo,jardines
girl	niña,cabra,chamaca,chica,chiquilla,lola,muchacha,mujer,nena
grandfather	abuelo
green	verde
guitar	guitarra,jarana
happy	contento,afortunado,alegre,feliz,satisfecho
helicopter	helicóptero,autogiro
hockey	hockey
hopscotch	rayuela
hungry	hambriento
knee	rodilla,hinojo
laundry	lavandería,colada,lavado
lawnmower	cortacésped,cortahierba,cortapasto,podadora
leash	correa
lighthouse	faro
lime	lima,cal,encalar,limero
lion	león
lobster	langosta
lunch	almuerzo,almorzar,comida,yanta
magic	magia
mail	correo,mail,malla
mailbox	buzón
mattress	colchón
mirror	espejo
mitten	mitón,manopla
monster	monstruo
motorcycle	motocicleta,moto
mushroom	seta,hongo
music	música
mute	mudo,callar,enmudecer,silenciar
nap	siesta,dormitar,sestear
nature	naturaleza
newspaper	periódico
niece	sobrina
owl	búho,anteojo,autillo,caburé,cárabo,chuncho,cuco,lechuza,mochuelo,tecolote,tucúquere
pajamas	pijama,pijamas
park	parque,aparcar,coto,estacionar
party	fiesta,carrete,divertirse,fiestar,guateque,pachanga,partido,reventón,sarao
pawn	empeñar,empeño,peón,pignorar
peach	melocotón,duraznero,durazno,melocotonero
pencil	lápiz
penguin	pingüino
pepper	pimienta,acribillar,chile,pimentero,pimiento
photograph	fotografía,foto,fotografiar
photographer	fotógrafo,fotógrafa
piano	piano
pineapple	piña,ananás
pirate	pirata
pizza	pizza
plate	plato,armadura,chapar,grabado,lámina,matrícula,placa
potato	patata,papa
president	presidente,presidenta
princess	princesa,infanta
puppet	marioneta,fantoche,títere
purse	bolso,bolsa,bulto,cartera,fruncir,monedero
queen	reina,coronar,gata,loca,reinona
quiet	tranquilo,callado,callar,calma,calmar,calmo,detenido,pacífico,poco,quieto,reservado,silencio,silencioso,silente,tranquilidad
race	carrera,correr,raíz,raza
radio	radio
radish	rábano
recycle	reciclar,reusar
rhinoceros	rinoceronte
robot	robot
roof	techo,techar,tejado
round	redondo,asalto,circular,esférico,etapa,ronda
rug	alfombra,alfombrilla,tapete
sad	triste
salute	saludo,venia
scared	asustado
seashell	concha
seesaw	balancín,balanceo,subibaja
shadow	sombra
shark	tiburón,escualo
shipwreck	naufragio,naufragar,pecio
shirt	camisa
shopping	compras,shopping
singer	cantante,cantor,cantora
skate	patinar,patín,patinaje
skateboard	patineta,monopatín,skate
ski	esquí,esquiar
skirt	falda,enaguas,pollera,saya
soap	jabón,enjabonar
soda	soda,bebida,casera,chesco,cola,fresco,gaseosa,refresco,sosa
softball	sofbol,sófbol
song	canción
spider	araña
spring	primavera,esprín,fuente,manantial,muelle,origen,resorte,saltar
sprinkler	aspersor
spy	espiar,chivato,espía
square	cuadrado,alinear,almohadilla,anticuado,carca,carroza,cartabón,casilla,cuadrar,cuadriculado,cuadro,escuadra,perpendicular,plaza,resolver,soso,zanahorio
stiff	rígido,adolorido,dolorido,duro,fiambre,inflexible,serio,severo,tieso
storm	tormenta,asaltar,borrasca,irrumpir,tempestad,temporal,vendaval
story	historia,crónica,relato
stove	estufa,calentador,cocina,hornillo
stripe	raya,franja,galón,línea,lista
student	estudiante,alumna,alumno,universitario
suitcase	maleta,petaca,valija
sunflower	girasol,maravilla,mirasol,tornasol
taxi	taxi,carretear,libre,taxímetro
teapot	tetera
think	pensar,creer,opinar,pensada,pensamiento,suponer
throne	trono
tool	herramienta,instrumento,utensilio
torch	antorcha
tornado	tornado
tractor	tractor,cabezal
treasure	tesoro,atesorar
triangle	triángulo
trip	viaje,tripear,tropezar,zancadilla,zancadillear
trumpet	trompeta,barritar,barrito,berrido,trompetear
tuba	tuba
tusk	colmillo
vest	chaleco,chalequillo
violin	violín
volcano	volcán
waist	cintura
wallet	billetera,cartera
watermelon	sandía,patilla
wedding	boda,casamiento,casorio,nupcias
white	blanco,albumen,blanca,clara
wig	peluca
windmill	molino
wink	guiño,guiñar
