aircraft	飞机,航空器
artist	艺术家,画家,美术家
astronaut	宇航员,太空人,宇宙飞行员,航天员
athlete	运动员,运动选手
barn	谷仓,粮仓
base	基础,垒,基地,总部,碱性
baseball	棒球
battery	电池,殴打,炮兵营,炮兵连,砲兵营,砲兵连,笼,系列,组,群,蓄意伤害,鸡笼
beach	海滩
beaver	海狸,河狸
beehive	蜂窝,蜂巢,蜂箱
bicycle	自行车,单车,脚踏车,自由车,铁马
blue	蓝色,下流的,蓝
bomb	炸弹,轰炸
boot	开机,启动,起动,踢,长靴,靴子
bottle	瓶子,瓶
braid	编织,辫子
brass	黄铜
brave	勇敢
broccoli	西兰花,绿花椰菜,绿菜花,西蓝花,青花菜
broken	破碎,坏
bubble	泡沫,气泡,泡
cafeteria	自助餐厅,食堂,餐厅
cake	蛋糕,块状物
calculator	计算器,计算机,计算者,计算表
camera	相机,摄像机,摄影机,照相机
candy	糖果,糖
chalk	粉笔,白垩
cheek	脸颊,两颊,脸皮,脸蛋,脸蛋子,腮,腮帮子,腮颊,面颊,颊
chin	下巴,下巴颏,颔
chocolate	巧克力,巧克力色,朱古力
circus	马戏团,杂技场,马戏场
coach	教练,客车,长途汽车,马车
coal	煤炭,煤,石炭
coconut	椰子,椰子肉,椰种
computer	电脑,计算员,计算机,计算者
cook	厨师,做菜,做饭,烹调,烹饪
couch	长椅,沙发,长沙发椅
cough	咳嗽
cowboy	牛仔
crib	婴儿床,作弊条,娃娃床,小抄
dance	舞蹈,跳舞
dentist	牙医,牙科医生
dictionary	字典,词典,辞典
dock	码头,任务栏,被告席
dollar	美元,元,圆,块,块钱
earthquake	地震
electricity	电力,电,电气,电能
face	面对,对,朝,脸,表情,表面,面,面临,面子,颜
fang	fang,尖牙
fast	快速,不褪色的,偏快的,快,快于标准时间,斋戒,牢固地,牢的,禁食,迅速曝光的
firefighter	消防队员,消防员
fist	拳头
flamingo	火烈鸟,火鹤,红鹤
flashlight	手电筒
flute	长笛,笛
fog	多雾路段,雾,雾气
freckle	雀斑,斑点
frog	青蛙,田鸡
funny	滑稽,可笑
fur	毛皮
garbage	垃圾,废物,破烂
garden	花园,菜园
girl	女孩,女,女儿,女孩儿,女孩子,女生,姑娘
grandfather	祖父,外公,外祖父,爷爷
green	绿色,绿色的,青
guitar	吉他,六弦琴
happy	快乐的,幸福,幸运,快乐,愉快,高兴
helicopter	直升机
hockey	曲棍球,冰球
hopscotch	跳房子,跳格子
hungry	饥饿,饥,饿
knee	膝盖,膝
laundry	洗衣房,洗濯,洗衣,洗衣店,要洗的衣服
lawnmower	割草机,剪草机
leash	皮带,絏,绁
lighthouse	灯塔,岸标
lime	酸橙,石灰,莱姆,莱檬,青柠
lion	狮子,狮
lobster	龙虾
lunch	午餐,午饭,吃午饭
magic	魔法,戏法,魔术
mail	邮件
mailbox	邮箱,信箱
mattress	床垫
mirror	镜子
mitten	手套
monster	怪物,妖怪,妖物,魔鬼
motorcycle	摩托车,摩托,机器脚踏车,机车,电单车
mushroom	蘑菇
music	音乐,乐谱
mute	静音,哑,哑巴,安静的
nap	小憩,午睡,小睡,打盹
nature	性质,自然
newspaper	报纸,报,报章,新闻用纸,白报纸
niece	侄女,外甥女,姪女,甥女
owl	猫头鹰,夜猫子,枭鸟,角鸱,鸮,鸱鸮,鸱鸺,鸺鹠
pajamas	睡衣
park	公园,停,停车
party	派对,一方,宴会,聚会
pawn	典当,兵,爪牙
peach	桃子,桃,桃树
pencil	铅笔
penguin	企鹅
pepper	胡椒,菜椒
photograph	照片,拍摄,拍照,摄影,相片
photographer	摄影师
piano	钢琴
pineapple	菠萝,凤梨,菠萝手榴弹,黄梨
pirate	海盗,海贼,盗版业者
pizza	比萨,披萨,比萨饼
plate	盘子,碟,碟子
potato	土豆,洋芋,马铃薯
president	总统,主席,会长,总裁,议长
princess	公主,王妃
puppet	木偶,人偶,偶人,傀儡
purse	钱包,抿嘴
queen	女王,Q,后,圈儿,女皇,王后,疙瘩,皇后,皮蛋
quiet	安静,宁静,闲散
race	种族,比赛,疾驰,种,竞赛,飞驰
radio	无线电,收音机
radish	萝卜,菜头
recycle	回收,再利用,循环再造
rhinoceros	犀牛
robot	机器人,机械人
roof	屋顶
round	回合,发,取整,四舍五入,圆,整数
rug	地毯,毯
sad	伤心,哀伤,忧伤,悲伤
salute	礼炮,敬礼
scared	害怕,惊恐,惊慌
seashell	贝壳,海贝
seesaw	跷跷板
shadow	阴影,影子,见学
shark	鲨鱼
shipwreck	沉船
shirt	衬衫,衬衣
shopping	购物,买东西,买的东西,血拼
singer	歌手
skate	滑冰,冰鞋,溜冰,鳐
skateboard	滑板
ski	滑雪,滑雪板,雪板
skirt	短裙,裙,裙子,边缘，裙边
soap	肥皂
soda	苏打,汽水,碳酸钠
softball	垒球
song	歌曲,唱儿,歌,歌儿
spider	蜘蛛
spring	弹簧,发条,春天,春季,泉,源泉
sprinkler	洒水器,喷洒装置,喷灌器,自动喷水灭火装置
spy	间谍,暗中侦察
square	广场,平方,正方形
stiff	僵硬,硬
storm	风暴
story	故事
stove	火炉,炉,炉子
stripe	条纹
student	学生
suitcase	手提箱,皮箱,行李箱,衣箱
sunflower	向日葵,日头花,葵花
taxi	出租车,出租汽车,德士,滑行,的士,计程车
teapot	茶壶
think	认为,念,思考,想,考虑
throne	王座,宝座,御座,王位,皇位
tool	工具
torch	火炬,薪火
tornado	龙卷风
tractor	拖拉机,铁牛
treasure	宝藏,珍宝,珍视,珍重,瑰宝,财富,金银财宝
triangle	三角形,三角,三角铁
trip	旅行,旅游,旅程,旅途,绊倒
trumpet	喇叭,小号
tuba	大号
tusk	象牙,牙,长牙
vest	背心,坎肩
violin	小提琴
volcano	火山
waist	腰部,腰
wallet	钱包,皮夹,钱袋
watermelon	西瓜
wedding	婚礼
white	白色,卵白,白人,白眼珠,白种人,蛋清,蛋白
wig	假发
windmill	风车
wink	眨眼,眨,眨眼睛
