en-US=abacus	zh=算盘
en-US=mercury	en-US=mercury
en-US=message	en-US=message
en-US=metaphor	en-US=metaphor
en-US=methane	en-US=methane
en-US=method	en-US=method
en-US=microphone	en-US=microphone
en-US=midnight	en-US=midnight
en-US=millennium	en-US=millennium
en-US=millionaire	en-US=millionaire
en-US=mine	en-US=mine
en-US=minibus	en-US=minibus
en-US=minister	en-US=minister
en-US=ministry	en-US=ministry
en-US=miracle	en-US=miracle
en-US=mirror	en-US=mirror
en-US=modern	en-US=modern
en-US=modify	en-US=modify
en-US=molecular	en-US=molecular
en-US=molecule	en-US=molecule
en-US=monarch	en-US=monarch
en-US=monarchy	en-US=monarchy
en-US=monastery	en-US=monastery
en-US=monetary	en-US=monetary
en-US=monkey	en-US=monkey
en-US=monomer	en-US=monomer
en-US=monster	en-US=monster
en-US=month	en-US=month
en-US=mood	en-US=mood
en-US=morphine	en-US=morphine
en-US=mosquito	en-US=mosquito
en-US=motherhood	en-US=motherhood
en-US=motor	en-US=motor
en-US=motorway	en-US=motorway
en-US=mountain	en-US=mountain
en-US=mountainside	en-US=mountainside
en-US=multimedia	en-US=multimedia
en-US=muscular	en-US=muscular
en-US=museum	en-US=museum
en-US=musician	en-US=musician
en-US=mystery	en-US=mystery
en-US=myth	en-US=myth
en-US=narrator	en-US=narrator
en-US=nationalist	en-US=nationalist
en-US=nature	en-US=nature
en-US=navy	en-US=navy
en-US=nebula	en-US=nebula
en-US=necklace	en-US=necklace
en-US=necktie	en-US=necktie
en-US=negotiate	en-US=negotiate
en-US=neon	en-US=neon
en-US=nephew	en-US=nephew
en-US=neutron	en-US=neutron
en-US=newcomer	en-US=newcomer
en-US=news	en-US=news
en-US=newsroom	en-US=newsroom
en-US=nicotine	en-US=nicotine
en-US=nine	en-US=nine,9
en-US=nineteen	en-US=nineteen,19
en-US=ninety	en-US=ninety,90
en-US=nitrogen	en-US=nitrogen
en-US=nonexistent	en-US=nonexistent
en-US=north	en-US=north
en-US=northwest	en-US=northwest
en-US=nostalgia	en-US=nostalgia
en-US=notepad	en-US=notepad
en-US=novelist	en-US=novelist
en-US=novelty	en-US=novelty
en-US=nuclear	en-US=nuclear
en-US=nude	en-US=nude
en-US=nurse	en-US=nurse
en-US=nylon	en-US=nylon
en-US=observer	en-US=observer
en-US=occur	en-US=occur
en-US=ocean	en-US=ocean
en-US=officer	en-US=officer
en-US=opera	en-US=opera
en-US=operator	en-US=operator
en-US=optimize	en-US=optimize
en-US=orbit	en-US=orbit
en-US=orchestra	en-US=orchestra
en-US=orchid	en-US=orchid
en-US=organize	en-US=organize
en-US=organizer	en-US=organizer
en-US=orient	en-US=orient
en-US=ostrich	en-US=ostrich
en-US=outcry	en-US=outcry
en-US=outer	en-US=outer
en-US=outfield	en-US=outfield
en-US=outline	en-US=outline
en-US=output	en-US=output
en-US=outside	en-US=outside
en-US=outskirts	en-US=outskirts
en-US=oven	en-US=oven
en-US=overpass	en-US=overpass
en-US=overuse	en-US=overuse
en-US=owner	en-US=owner
en-US=oxidase	en-US=oxidase
en-US=oxygen	en-US=oxygen
en-US=ozone	en-US=ozone
en-US=paddy	en-US=paddy
en-US=paint	en-US=paint
en-US=panorama	en-US=panorama
en-US=papaya	en-US=papaya
en-US=parade	en-US=parade
en-US=paradigm	en-US=paradigm
en-US=paradise	en-US=paradise
en-US=paradox	en-US=paradox
en-US=paragraph	en-US=paragraph
en-US=parallel	en-US=parallel
en-US=parent	en-US=parent
en-US=parents	en-US=parents
en-US=parliamentary	en-US=parliamentary
en-US=parsley	en-US=parsley
en-US=particle	en-US=particle
en-US=particular	en-US=particular
en-US=partisan	en-US=partisan
en-US=partner	en-US=partner
en-US=passenger	en-US=passenger
en-US=passport	en-US=passport
en-US=password	en-US=password
en-US=patent	en-US=patent
en-US=pathology	en-US=pathology
en-US=patient	en-US=patient
en-US=patriot	en-US=patriot
en-US=payroll	en-US=payroll
en-US=peaceful	en-US=peaceful
en-US=peasant	en-US=peasant
en-US=pedestrian	en-US=pedestrian
en-US=penalty	en-US=penalty
en-US=pencil	en-US=pencil
en-US=penguin	en-US=penguin
en-US=peninsula	en-US=peninsula
en-US=peony	en-US=peony
en-US=percentage	en-US=percentage
en-US=perch	en-US=perch
en-US=perfume	en-US=perfume
en-US=permanent	en-US=permanent
en-US=persistent	en-US=persistent
en-US=persona	en-US=persona
en-US=pesticide	en-US=pesticide
en-US=phalanx	en-US=phalanx
en-US=pharmacy	en-US=pharmacy
en-US=phenomenon	en-US=phenomenon
en-US=philosopher	en-US=philosopher
en-US=phosphatase	en-US=phosphatase
en-US=phosphate	en-US=phosphate
en-US=photographer	en-US=photographer
en-US=photon	en-US=photon
en-US=physician	en-US=physician
en-US=physicist	en-US=physicist
en-US=pianist	en-US=pianist
en-US=pigeon	en-US=pigeon
en-US=pillow	en-US=pillow
en-US=pint	en-US=pint
en-US=pipeline	en-US=pipeline
en-US=piston	en-US=piston
en-US=pixel	en-US=pixel
en-US=placebo	en-US=placebo
en-US=plaintiff	en-US=plaintiff
en-US=planet	en-US=planet
en-US=planner	en-US=planner
en-US=plasma	en-US=plasma
en-US=plaster	en-US=plaster
en-US=platform	en-US=platform
en-US=playground	en-US=playground
en-US=playmate	en-US=playmate
en-US=plaza	en-US=plaza
en-US=pocket	en-US=pocket
en-US=poet	en-US=poet
en-US=police	en-US=police
en-US=policy	en-US=policy
en-US=polyester	en-US=polyester
en-US=polyethylene	en-US=polyethylene
en-US=polymerase	en-US=polymerase
en-US=polypeptide	en-US=polypeptide
en-US=polypropylene	en-US=polypropylene
en-US=polyurethane	en-US=polyurethane
en-US=pond	en-US=pond
en-US=popcorn	en-US=popcorn
en-US=poplar	en-US=poplar
en-US=poppy	en-US=poppy
en-US=popular	en-US=popular
en-US=pork	en-US=pork
en-US=portrait	en-US=portrait
en-US=possible	en-US=possible
en-US=postdoc	en-US=postdoc
en-US=poultry	en-US=poultry
en-US=powerful	en-US=powerful
en-US=practice	en-US=practice
en-US=practise	en-US=practise
en-US=prairie	en-US=prairie
en-US=precinct	en-US=precinct
en-US=precise	en-US=precise
en-US=precursor	en-US=precursor
en-US=predator	en-US=predator
en-US=prepare	en-US=prepare
en-US=prestige	en-US=prestige
en-US=pretext	en-US=pretext
en-US=priest	en-US=priest
en-US=prince	en-US=prince
en-US=princess	en-US=princess
en-US=printer	en-US=printer
en-US=prisoner	en-US=prisoner
en-US=privacy	en-US=privacy
en-US=private	en-US=private
en-US=procedure	en-US=procedure
en-US=process	en-US=process
en-US=processor	en-US=processor
en-US=proclaim	en-US=proclaim
en-US=producer	en-US=producer
en-US=product	en-US=product
en-US=progress	en-US=progress
en-US=prologue	en-US=prologue,prolog
en-US=proof	en-US=proof
en-US=propaganda	en-US=propaganda
en-US=protagonist	en-US=protagonist
en-US=protease	en-US=protease
en-US=protein	en-US=protein
en-US=proton	en-US=proton
en-US=proud	en-US=proud
en-US=provenance	en-US=provenance
en-US=provide	en-US=provide
en-US=province	en-US=province
en-US=prudent	en-US=prudent
en-US=psychiatrist	en-US=psychiatrist
en-US=psychiatry	en-US=psychiatry
en-US=psychoanalysis	en-US=psychoanalysis
en-US=psychology	en-US=psychology
en-US=psychosis	en-US=psychosis
en-US=publish	en-US=publish
en-US=puck	en-US=puck
en-US=pulmonary	en-US=pulmonary
en-US=pulse	en-US=pulse
en-US=pumpkin	en-US=pumpkin
en-US=puppy	en-US=puppy
en-US=purchase	en-US=purchase
en-US=puree	en-US=puree
en-US=pyramid	en-US=pyramid
en-US=quadrant	en-US=quadrant
en-US=quest	en-US=quest
en-US=questionnaire	en-US=questionnaire
en-US=radar	en-US=radar
en-US=radio	en-US=radio
en-US=railway	en-US=railway
en-US=rainfall	en-US=rainfall
en-US=raisin	en-US=raisin
en-US=ranch	en-US=ranch
en-US=random	en-US=random
en-US=ravine	en-US=ravine
en-US=rebuild	en-US=rebuild
en-US=receipt	en-US=receipt
en-US=recent	en-US=recent
en-US=recipe	en-US=recipe
en-US=recommend	en-US=recommend
en-US=reconnaissance	en-US=reconnaissance
en-US=referendum	en-US=referendum
en-US=reflex	en-US=reflex
en-US=reform	en-US=reform
en-US=refrigerator	en-US=refrigerator
en-US=refugee	en-US=refugee
en-US=refuge	en-US=refuge
en-US=regime	en-US=regime
en-US=regulate	en-US=regulate
en-US=rejoice	en-US=rejoice
en-US=relax	en-US=relax
en-US=relevant	en-US=relevant
en-US=relish	en-US=relish
en-US=remainder	en-US=remainder
en-US=remedy	en-US=remedy
en-US=remind	en-US=remind
en-US=remove	en-US=remove
en-US=renaissance	en-US=renaissance
en-US=renown	en-US=renown
en-US=repair	en-US=repair
en-US=repeat	en-US=repeat
en-US=repertoire	en-US=repertoire
en-US=report	en-US=report
en-US=reporter	en-US=reporter
en-US=represent	en-US=represent
en-US=researcher	en-US=researcher
en-US=reserve	en-US=reserve
en-US=reservoir	en-US=reservoir
en-US=resident	en-US=resident
en-US=resist	en-US=resist
en-US=resolve	en-US=resolve
en-US=resource	en-US=resource
en-US=respect	en-US=respect
en-US=respond	en-US=respond
en-US=response	en-US=response
en-US=restaurant	en-US=restaurant
en-US=restraint	en-US=restraint
en-US=revenue	en-US=revenue
en-US=reverse	en-US=reverse
en-US=revolutionary	en-US=revolutionary
en-US=revolver	en-US=revolver
en-US=rhubarb	en-US=rhubarb
en-US=rhythm	en-US=rhythm
en-US=robbery	en-US=robbery
en-US=rocket	en-US=rocket
en-US=rogue	en-US=rogue
en-US=romance	en-US=romance
en-US=rosary	en-US=rosary
en-US=rosemary	en-US=rosemary
en-US=rotor	en-US=rotor
en-US=routine	en-US=routine
en-US=safety	en-US=safety
en-US=sage	en-US=sage
en-US=sailboat	en-US=sailboat
en-US=salad	en-US=salad
en-US=saliva	en-US=saliva
en-US=salmonella	en-US=salmonella
en-US=sandstone	en-US=sandstone
en-US=sapphire	en-US=sapphire
en-US=satellite	en-US=satellite
en-US=sauna	en-US=sauna
en-US=sausage	en-US=sausage
en-US=scan	en-US=scan
en-US=scenery	en-US=scenery
en-US=scientist	en-US=scientist
en-US=screenwriter	en-US=screenwriter
en-US=sculptor	en-US=sculptor
en-US=seashore	en-US=seashore
en-US=seaside	en-US=seaside
en-US=season	en-US=season
en-US=seat	en-US=seat
en-US=seawater	en-US=seawater
en-US=second	en-US=second
en-US=semester	en-US=semester
en-US=seminar	en-US=seminar
en-US=server	en-US=server
en-US=sesame	en-US=sesame
en-US=settee	en-US=settee
en-US=seven	en-US=seven,7
en-US=seventeen	en-US=seventeen,17
en-US=seventy	en-US=seventy,70
en-US=sewer	en-US=sewer
en-US=sexy	en-US=sexy
en-US=shadow	en-US=shadow
en-US=shareholder	en-US=shareholder
en-US=shark	en-US=shark
en-US=sheep	en-US=sheep
en-US=sheepskin	en-US=sheepskin
en-US=shelf	en-US=shelf
en-US=shellfish	en-US=shellfish
en-US=shire	en-US=shire
en-US=shirt	en-US=shirt
en-US=shopkeeper	en-US=shopkeeper
en-US=shortcut	en-US=shortcut
en-US=shortfall	en-US=shortfall
en-US=shoulder	en-US=shoulder
en-US=shunt	en-US=shunt
en-US=shuttle	en-US=shuttle
en-US=signature	en-US=signature
en-US=silhouette	en-US=silhouette
en-US=silk	en-US=silk
en-US=silver	en-US=silver
en-US=silverware	en-US=silverware
en-US=simple	en-US=simple
en-US=sincere	en-US=sincere
en-US=singer	en-US=singer
en-US=sixteen	en-US=sixteen,16
en-US=sixth	en-US=sixth
en-US=sixty	en-US=sixty,60
en-US=skirt	en-US=skirt
en-US=slave	en-US=slave
en-US=slavery	en-US=slavery
en-US=sleeve	en-US=sleeve
en-US=slipper	en-US=slipper
en-US=smear	en-US=smear
en-US=smile	en-US=smile
en-US=sneaker	en-US=sneaker
en-US=snowman	en-US=snowman
en-US=socialist	en-US=socialist
en-US=society	en-US=society
en-US=sociology	en-US=sociology
en-US=sofa	en-US=sofa
en-US=softball	en-US=softball
en-US=software	en-US=software
en-US=softy	en-US=softy
en-US=soiree	en-US=soiree
en-US=solve	en-US=solve
en-US=song	en-US=song
en-US=soprano	en-US=soprano
en-US=sorghum	en-US=sorghum
en-US=south	en-US=south
en-US=southwest	en-US=southwest
en-US=sovereignty	en-US=sovereignty
en-US=specialist	en-US=specialist
en-US=specialty	en-US=specialty
en-US=species	en-US=species
en-US=specimen	en-US=specimen
en-US=spectator	en-US=spectator
en-US=spend	en-US=spend
en-US=spider	en-US=spider
en-US=spinach	en-US=spinach
en-US=spokesman	en-US=spokesman
en-US=spokesperson	en-US=spokesperson
en-US=sportswear	en-US=sportswear
en-US=springboard	en-US=springboard
en-US=springtime	en-US=springtime
en-US=square	en-US=square
en-US=squid	en-US=squid
en-US=squirrel	en-US=squirrel
en-US=stadium	en-US=stadium
en-US=stage	en-US=stage
en-US=standard	en-US=standard
en-US=statue	en-US=statue
en-US=status	en-US=status
en-US=stimulus	en-US=stimulus
en-US=stoneware	en-US=stoneware
en-US=stool	en-US=stool
en-US=storage	en-US=storage
en-US=storm	en-US=storm
en-US=stove	en-US=stove
en-US=strategy	en-US=strategy
en-US=strawberry	en-US=strawberry
en-US=straw	en-US=straw
en-US=strength	en-US=strength
en-US=stress	en-US=stress
en-US=strict	en-US=strict
en-US=structure	en-US=structure
en-US=studio	en-US=studio
en-US=sublime	en-US=sublime
en-US=subscribe	en-US=subscribe
en-US=subsequent	en-US=subsequent
en-US=success	en-US=success
en-US=successful	en-US=successful
en-US=sucrose	en-US=sucrose
en-US=sufficient	en-US=sufficient
en-US=suicide	en-US=suicide
en-US=summary	en-US=summary
en-US=sunflower	en-US=sunflower
en-US=sunglasses	en-US=sunglasses
en-US=sunset	en-US=sunset
en-US=sunshine	en-US=sunshine
en-US=superior	en-US=superior
en-US=suppress	en-US=suppress
en-US=supreme	en-US=supreme
en-US=surgeon	en-US=surgeon
en-US=surgery	en-US=surgery
en-US=surname	en-US=surname
en-US=surplus	en-US=surplus
en-US=surroundings	en-US=surroundings
en-US=survivor	en-US=survivor
en-US=sushi	en-US=sushi
en-US=suspect	en-US=suspect
en-US=suture	en-US=suture
en-US=swim	en-US=swim
en-US=swine	en-US=swine
en-US=switchboard	en-US=switchboard
en-US=symphony	en-US=symphony
en-US=symptom	en-US=symptom
en-US=syndrome	en-US=syndrome
en-US=system	en-US=system
en-US=talent	en-US=talent
en-US=tango	en-US=tango
en-US=tariff	en-US=tariff
en-US=taxpayer	en-US=taxpayer
en-US=teach	en-US=teach
en-US=teacher	en-US=teacher
en-US=teapot	en-US=teapot
en-US=teaspoon	en-US=teaspoon
en-US=technician	en-US=technician
en-US=technique	en-US=technique
en-US=technology	en-US=technology
en-US=telescope	en-US=telescope
en-US=temperature	en-US=temperature
en-US=temporary	en-US=temporary
en-US=tender	en-US=tender
en-US=tennis	en-US=tennis
en-US=tent	en-US=tent
en-US=tenth	en-US=tenth
en-US=territory	en-US=territory
en-US=terror	en-US=terror
en-US=terrorist	en-US=terrorist
en-US=testimony	en-US=testimony
en-US=thank	en-US=thank
en-US=theft	en-US=theft
en-US=theology	en-US=theology
en-US=theorist	en-US=theorist
en-US=therapy	en-US=therapy
en-US=thesis	en-US=thesis
en-US=thigh	en-US=thigh
en-US=third	en-US=third
en-US=thirteen	en-US=thirteen,13
en-US=thirty	en-US=thirty,30
en-US=threat	en-US=threat
en-US=three	en-US=three,3
en-US=throat	en-US=throat
en-US=throughout	en-US=throughout
en-US=thwart	en-US=thwart
en-US=tidy	en-US=tidy
en-US=tobacco	en-US=tobacco
en-US=tolerance	en-US=tolerance
en-US=tomato	en-US=tomato
en-US=tomb	en-US=tomb
en-US=tomorrow	en-US=tomorrow
en-US=toolbox	en-US=toolbox
en-US=toothbrush	en-US=toothbrush
en-US=toothpaste	en-US=toothpaste
en-US=torso	en-US=torso
en-US=torture	en-US=torture
en-US=tourist	en-US=tourist
en-US=townsman	en-US=townsman
en-US=trace	en-US=trace
en-US=tractor	en-US=tractor
en-US=tragedy	en-US=tragedy
en-US=trailblazer	en-US=trailblazer
en-US=trajectory	en-US=trajectory
en-US=trance	en-US=trance
en-US=transit	en-US=transit
en-US=transplant	en-US=transplant
en-US=treason	en-US=treason
en-US=treaty	en-US=treaty
en-US=trek	en-US=trek
en-US=triangle	en-US=triangle
en-US=tribe	en-US=tribe
en-US=tribune	en-US=tribune
en-US=tribute	en-US=tribute
en-US=tripod	en-US=tripod
en-US=truck	en-US=truck
en-US=truth	en-US=truth
en-US=tsunami	en-US=tsunami
en-US=tuberculosis	en-US=tuberculosis
en-US=tulip	en-US=tulip
en-US=tuna	en-US=tuna
en-US=turkey	en-US=turkey
en-US=twelve	en-US=twelve,12
en-US=twenty	en-US=twenty,20
en-US=umbrella	en-US=umbrella
en-US=undergraduate	en-US=undergraduate
en-US=underpants	en-US=underpants
en-US=underwear	en-US=underwear
en-US=unfair	en-US=unfair
en-US=uniform	en-US=uniform
en-US=unique	en-US=unique
en-US=unite	en-US=unite
en-US=unit	en-US=unit
en-US=universe	en-US=universe
en-US=update	en-US=update
en-US=upgrade	en-US=upgrade
en-US=upstairs	en-US=upstairs
en-US=upstream	en-US=upstream
en-US=urban	en-US=urban
en-US=urea	en-US=urea
en-US=urine	en-US=urine
en-US=user	en-US=user
en-US=utopia	en-US=utopia
en-US=vaccine	en-US=vaccine
en-US=valve	en-US=valve
en-US=vampire	en-US=vampire
en-US=vanguard	en-US=vanguard
en-US=variety	en-US=variety
en-US=vase	en-US=vase
en-US=vault	en-US=vault
en-US=vector	en-US=vector
en-US=vehicle	en-US=vehicle
en-US=vent	en-US=vent
en-US=verb	en-US=verb
en-US=verdict	en-US=verdict
en-US=veteran	en-US=veteran
en-US=veterinarian	en-US=veterinarian
en-US=victory	en-US=victory
en-US=video	en-US=video
en-US=villager	en-US=villager
en-US=vinegar	en-US=vinegar
en-US=vintage	en-US=vintage
en-US=viola	en-US=viola
en-US=violin	en-US=violin
en-US=virtue	en-US=virtue
en-US=virus	en-US=virus
en-US=visa	en-US=visa
en-US=visible	en-US=visible
en-US=visitor	en-US=visitor
en-US=vitamin	en-US=vitamin
en-US=void	en-US=void
en-US=volcano	en-US=volcano
en-US=volleyball	en-US=volleyball
en-US=voltage	en-US=voltage
en-US=volume	en-US=volume
en-US=voluntary	en-US=voluntary
en-US=volunteer	en-US=volunteer
en-US=waif	en-US=waif
en-US=wallet	en-US=wallet
en-US=walnut	en-US=walnut
en-US=warfare	en-US=warfare
en-US=warm	en-US=warm
en-US=warmth	en-US=warmth
en-US=wasp	en-US=wasp
en-US=water	en-US=water
en-US=waterfall	en-US=waterfall
en-US=watermelon	en-US=watermelon
en-US=wealth	en-US=wealth
en-US=weapon	en-US=weapon
en-US=weaponry	en-US=weaponry
en-US=website	en-US=website
en-US=wetland	en-US=wetland
en-US=whatsoever	en-US=whatsoever
en-US=wheat	en-US=wheat
en-US=wheelchair	en-US=wheelchair
en-US=width	en-US=width
en-US=wildlife	en-US=wildlife
en-US=willow	en-US=willow
en-US=windfall	en-US=windfall
en-US=windmill	en-US=windmill
en-US=window	en-US=window
en-US=wingspan	en-US=wingspan
en-US=wisdom	en-US=wisdom
en-US=woman	en-US=woman
en-US=womb	en-US=womb
en-US=wonderland	en-US=wonderland
en-US=wool	en-US=wool
en-US=workbench	en-US=workbench
en-US=worker	en-US=worker
en-US=workforce	en-US=workforce
en-US=workout	en-US=workout
en-US=workplace	en-US=workplace
en-US=worldwide	en-US=worldwide
en-US=wristwatch	en-US=wristwatch
en-US=yellow	en-US=yellow
en-US=yesterday	en-US=yesterday
en-US=zebra	en-US=zebra
